"Translation ID";"Description";"fi-FI";"eu-ES";"hr-HR";"th-TH";"nl-NL";"ru-RU";"es-ES";"ro-RO";"pt-PT";"sl-SI";"et-EE";"de-DE";"pt-BR";"hy-AM";"nb-NO";"gl-ES";"fa-IR";"cs-CZ";"id-ID";"ta-IN";"en-US";"el-GR";"ja-JP";"sr-Latn-RS";"hi-IN";"ca-ES";"zh-CN";"sk-SK";"hu-HU";"ko-KR";"ar-AE";"he-IL";"tr-TR";"sv-SE";"uk-UA";"ga-IE";"fr-FR";"bn-IN";"pl-PL";"lt-LT";"vi-VN";"it-IT"
"sendMessages";"";"Lähetä viestejä";"Bidali mezuak";"Šalji poruke";"";"Berichten versturen";"Отправить сообщения";"Enviar mensajes";"Trimiteți mesaje";"";"";"Saada sõnumeid";"Nachrichten senden";"Enviar mensagens";"";"Send meldinger";"Enviar mensaxes";"پیام‌ها را فرستید";"Odeslat zprávy";"Kirim pesan";"";"Send messages";"";"メッセージを送る";"Слање порука";"";"Envia missatges";"发送消息";"Poslať správy";"Üzenetek küldése";"메시지 보내기";"إرسال رسائل";"";"Mesaj gönder";"Skickade meddelanden";"Надсилати повідомлення";"Seol teachtaireachtaí";"Envoyer des messages";"";"Wyślij wiadomości";"Siųsti žinutes";"";"Invia messaggi"
"sendOnEnter";"";"Lähetä painamalla rivinvaihtonäppäintä";"Bidali enter sakatuz";"Pošalji pritiskom tipke enter";"";"Verstuur met enter";"Отправлять по Enter";"Enviar con enter";"Trimite cu tasta enter";"";"Pošlji ob vstopu";"Saada sõnum sisestusklahvi vajutusel";"Senden mit Enter";"Enviar ao pressionar enter";"";"Trykk på enter for å sende";"Enter para enviar";"ارسال با کلید بازگشت";"Odeslat při vstupu";"Kirim dengan enter";"";"Send on enter";"";"Enterで送信";"";"";"Envia en prémer Retorn";"按 Enter 键发送";"Odoslať pri vstupe";"Küldés Enterrel";"엔터로 보내기";"أرسل عند الدخول";"שלח וכנס";"Enter tuşu ile gönder";"Skicka med Enter";"Надсилати натисканням Enter";"Seol ar iontráil";"Envoyer avec Entrée";"";"Wyślij enterem";"Išsiųsti paspaudus Enter";"";""
"sendOriginal";"";"Lähetä alkuperäinen";"";"Pošalji original";"";"Origineel versturen";"Отправить оригинал";"Enviar el original";"Trimiteți original";"";"";"Saada fail muutmata kujul";"Sende Original";"Enviar original";"";"Send original";"Enviar orixinal";"اصل را فرستید";"Odeslat originál";"Kirim yang asli";"";"Send original";"";"オリジナルの送信";"Пошаљи оригинал";"";"Envia l’original";"发送原图";"Poslať originál";"Eredeti küldése";"원본 보내기";"أرسل الملف الأصلي";"";"Orijinali gönder";"Skicka orginal";"Надіслати оригінал";"Seol an bunchóip";"Envoyer le fichier original";"";"Wyślij oryginał";"Siųsti originalą";"";"Invia l'originale"
"sendSticker";"";"Lähetä tarra";"Bidali stickerra";"Pošalji naljepnicu";"";"Sticker versturen";"Отправить стикер";"Enviar stickers";"Trimiteți sticker";"";"";"Saada kleeps";"Sticker senden";"Enviar figurinha";"";"";"Enviar adhesivo";"استیکر را فرستید";"Odeslat nálepku";"Kirim stiker";"";"Send sticker";"";"ステッカーを送る";"";"";"Envia adhesiu";"发送贴纸";"Poslať nálepku";"Matrica küldése";"스티커 보내기";"أرسل ملصقًا";"";"Çıkartma gönder";"Skicka klistermärke";"Надіслати наліпку";"Seol greamán";"Envoyer un autocollant";"";"Wyślij naklejkę";"Siųsti lipduką";"";"Invia sticker"
"sendVideo";"";"Lähetä video";"";"Pošalji video datoteku";"";"Video versturen";"Отправить видео";"Enviar video";"Trimiteți video";"";"";"Saada videofail";"Sende Video";"Enviar vídeo";"";"Send video";"Enviar vídeo";"ویدئو را فرستید";"Odeslat video";"Kirim video";"";"Send video";"";"動画を送信";"Пошаљи видео";"";"Envia un vídeo";"发送视频";"Poslať video";"Videó küldése";"영상 보내기";"أرسل فيديو";"";"Video gönder";"Skicka video";"Надіслати відео";"Seol físeán";"Envoyer une vidéo";"";"Wyślij film";"Siųsti video";"";"Invia un video"
"sender";"";"Lähettäjä";"Igorlea";"Pošiljatelj";"";"Afzender";"Отправитель";"";"Trimițător";"";"";"Saatja";"Absender:in";"Remetente";"";"";"Remitente";"فرستنده";"Odesílatel";"Pengirim";"";"Sender";"";"送信者";"";"";"";"发送者";"";"";"발신자";"المرسل";"";"Gönderen";"Avsändare";"Відправник";"";"Expéditeur/trice";"";"Nadawca";"Siuntėjas";"";""
"sentAFile";"";"{username} lähetti tiedoston";"";"{username} ja poslao/la datoteku";"";"{username} heeft een bestand verzonden";"{username} отправил(а) файл";"{username} envió un archivo";"📁{username} a trimis un fișier";"";"";"{username} saatis faili";"{username} hat eine Datei gesendet";"{username} enviou um arquivo";"";"{username} sendte en fil";"{username} enviou un ficheiro";"📁 {username} یہ پرونده فرستاد";"{username} poslali soubor";"{username} mengirim file";"";"{username} sent a file";"";"{username}はファイルを送信しました";"{username} посла фајл";"";"{username} ha enviat un fitxer";"{username} 发送了文件";"{username} poslali súbor";"{username} fájlt küldött";"{username}이 파일 보냄";"أرسلَ {username} ملفًا";"";"{username} bir dosya gönderdi";"{username} skickade en fil";"{username} надсилає файл";"Sheol {username} comhad";"{username} a envoyé un fichier";"";"{username} wysłał/-a plik";"{username} atsiuntė failą";"";"{username} ha inviato un file"
"sentAPicture";"";"{username} lähetti kuvan";"";"{username} ja poslao/la sliku";"";"{username} heeft een afbeelding verzonden";"{username} отправил(а) изображение";"{username} envió una imagen";"🖼️ {username} a trimis o poză";"";"";"{username} saatis pildi";"{username} hat ein Bild gesendet";"{username} enviou uma imagem";"";"{username} sendte et bilde";"{username} enviou unha imaxe";"🖼️ {username} یہ عکس فرستاد";"{username} poslali obrázek";"{username} mengirim gambar";"";"{username} sent a picture";"";"{username}は画像を送信しました";"{username} посла слику";"";"{username} ha enviat una imatge";"{username} 发送了图片";"{username} poslali obrázok";"{username} képet küldött";"{username}이 사진 보냄";"أرسلَ {username} صورة";"";"{username} bir resim gönderdi";"{username} skickade ett ljudklipp";"{username} надсилає зображення";"Sheol {username} pictiúr";"{username} a envoyé une image";"";"{username} wysłał/-a obraz";"{username} atsiuntė nuotrauką";"";"{username} ha inviato un'immagine"
"sentASticker";"";"{username} lähetti tarran";"";"{username} je poslao/la naljepnicu";"";"{username} heeft een sticker verzonden";"{username} отправил(а) стикер";"{username} envió un sticker";"😊 {username} a trimis un sticker";"";"";"{username} saatis kleepsu";"{username} hat einen Sticker gesendet";"{username} enviou uma figurinha";"";"{username} sendte et klistremerke";"{username} enviou un adhesivo";"😊 {username} یہ استیکر فرستاد";"{username} poslali samolepku";"{username} mengirim stiker";"";"{username} sent a sticker";"";"{username}はステッカーを送信しました";"{username} посла налепницу";"";"{username} ha enviat un adhesiu";"{username} 发送了贴纸";"{username} poslali nálepku";"{username} matricát küldött";"{username}이 스티커 보냄";"أرسلَ {username} ملصقا";"";"{username} bir çıkartma gönderdi";"{username} skickade en sticker";"{username} надсилає наліпку";"Sheol {username} greamán";"{username} a envoyé un autocollant";"";"{username} wysłał/-a naklejkę";"{username} atsiuntė lipduką";"";"{username} ha inviato un adesivo"
"sentAVideo";"";"{username} lähetti videon";"";"{username} ja poslao/la video";"";"{username} heeft een video verzonden";"{username} отправил(а) видео";"{username} envió un video";"🎥{username} a trimis un video";"";"";"{username} saatis video";"{username} hat ein Video gesendet";"{username} enviou um vídeo";"";"{username} sendte en video";"{username} enviou un vídeo";"🎥 {username} یہ ویدئو فرستاد";"{username} poslali video";"{username} mengirim video";"";"{username} sent a video";"";"{username}は動画を送信しました";"{username} посла видео";"";"{username} ha enviat un vídeo";"{username} 发送了视频";"{username} poslali video";"{username} videót küldött";"{username}이 영상 보냄";"أرسلَ {username} فيديو";"";"{username} bir video gönderdi";"{username} skickade en video";"{username} надсилає відео";"Sheol {username} físeán";"{username} a envoyé une vidéo";"";"{username} wysłał/-a wideo";"{username} atsiuntė video";"";"{username} ha inviato un video"
"sentAnAudio";"";"{username} lähetti ääniviestin";"";"{username} ja poslao/la audio datoteku";"";"{username} heeft een audio verzonden";"{username} отправил(а) аудио";"{username} envió un audio";"🎤{username} a trimis audio";"";"";"{username} saatis helifaili";"{username} hat eine Audio-Datei gesendet";"{username} enviou um audio";"";"{username} sendte lyd";"{username} enviou un audio";"🎤 {username} یہ ضبط صوتی فرستاد";"{username} poslali zvukovou nahrávku";"{username} mengirim suara";"";"{username} sent an audio";"";"{username}は音声を送信しました";"{username} посла аудио";"";"{username} ha enviat un àudio";"{username} 发送了音频";"{username} poslali zvukovú nahrávku";"{username} hangüzenetet küldött";"{username}이 오디오 보냄";"أرسلَ {username} ملفًا صوتيًا";"";"{username} bir ses gönderdi";"{username} skickade ett ljudklipp";"{username} надсилає аудіо";"Sheol {username} fuaim";"{username} a envoyé un fichier audio";"";"{username} wysłał/-a plik audio";"{username} atsiuntė garso įrašą";"";"{username} ha inviato un file audio"
"sentCallInformations";"";"{senderName} lähetti puhelutiedot";"";"{senderName} je poslao/la podatke poziva";"";"{senderName} heeft oproepgegevens verzonden";"{senderName} отправил(а) информацию о звонке";"{senderName} envió información de la llamada";"{senderName} a trimis informație de apel";"";"";"{senderName} saatis teavet kõne kohta";"{senderName} hat Anrufinformationen geschickt";"{senderName} enviou informações de chamada";"";"{senderName} sendte anropsinfo";"{senderName} enviou información da chamada";"{senderName} اتلاعات زنگیدن را فرستاد";"{senderName} odeslal informace o hovoru";"{senderName} mengirim informasi panggilan";"";"{senderName} sent call information";"";"{senderName}は通話情報を送信しました";"{senderName} посла податке о позиву";"";"{senderName} ha enviat informació de trucada";"{senderName} 发送了通话信息";"";"{senderName} hívásinformációt küldött";"{senderName} 이 통화 정보 보냄";"أرسل {senderName} معلومات مكالمة";"";"{senderName} arama bilgilerini gönderdi";"{senderName} skickade samtalsinformation";"{senderName} надсилає відомості про виклик";"Sheol {senderName} faisnéis maidir le glaonna";"{senderName} a envoyé des informations sur l'appel";"";"{senderName} wysłał/-a informacje o połączeniu";"{senderName} išsiuntė skambučio informaciją";"";"{senderName} ha inviato informazioni sulla chiamata"
"sentryInfo";"";"Tietoa yksityisyydestäsi: https://rechain.online/en/privacy.html";"";"Podaci o tvojoj privatnosti: https://rechain.online/en/privacy.html";"";"Informatie over je privacy: https://rechain.online/en/privacy.html";"Информация о вашей конфиденциальности: https://rechain.online/en/privacy.html";"Información sobre tu privacidad: https://rechain.online/en/privacy.html";"";"";"";"Teave sinu privaatsuse kohta: https://rechain.online/en/privacy.html";"Information über deine Privatsphäre: https://rechain.online/en/privacy.html";"Informações sobre a sua privacidade: https://rechain.online/en/privacy.html";"";"Personvernsinfo: https://rechain.online/en/privacy.html";"Información sobre privacidade: https://rechain.online/en/privacy.html";"";"Informace o vašem soukromí: https://rechain.online/en/privacy.html";"Informasi tentang privasi Anda: https://rechain.online/en/privacy.html";"";"Information about your privacy: https://rechain.online/en/privacy.html";"";"プライバシーについての情報: https://rechain.online/en/privacy.html";"Информације о вашој приватности: https://rechain.online/en/privacy.html";"";"Informació sobre la vostra privadesa: https://rechain.online/en/privacy.html";"关于您隐私的信息: https://rechain.online/en/privacy.html";"";"Adatvédelmi információk: https://rechain.online/en/privacy.html";"당신의 프라이버시에 대한 정보: https://rechain.online/en/privacy.html";"معلومات عن خصوصيتك: https://rechain.online/en/privacy.html";"";"Gizliliğiniz hakkında bilgiler: https://rechain.online/en/privacy.html";"Information om din intigritet: https://rechain.online/en/privacy.html";"Відомості про вашу приватність: https://rechain.online/en/privacy.html";"Eolas faoi do phríobháideacht: https://rechain.online/en/privacy.html";"Informations relatives à votre vie privée : https://rechain.online/en/privacy.html";"";"Polityka prywatności: https://rechain.online/en/privacy.html";"Informacija apie jūsų privatumą: https://rechain.online/en/privacy.html";"";"Informazioni sulla privacy: https://rechain.online/en/privacy.html"
"separateChatTypes";"";"Erota suorat keskustelut, ryhmät ja Spacet";"Bereizi Mezu Zuzenak, Taldeak eta Guneak";"Odvojeni izravni chatovi, grupe i prostori";"";"Gescheiden directe chats, groepen en spaces";"Разделять Личные чаты, Группы и Пространства";"";"Afișați chaturi directe și grupuri separat";"";"";"Eraldi vestlused, jututoad ja kogukonnad";"Separate Direktchats, Gruppen und Spaces";"Separar Conversas Diretas, Grupos e Espaços";"";"";"Separar Conversas directas, Grupos e Espazos";"پیام‌های مستقیم را از گروه‌ها جدا کنید";"Odděĺlit přímé chaty, skupiny a prostory";"Pisahkan Pesan Langsung, Grup, dan Space";"";"Separate Direct Chats, Groups, and Spaces";"";"";"";"";"";"分开私聊、群组和空间";"";"";"";"الدردشات المباشرة والمجموعات المنفصلة";"";"Doğrudan Sohbetleri, Grupları ve Alanları Ayır";"Separata direktchattar och grupper";"Окремі особисті бесіди, групи та простори";"";"Séparer les discussions directes, les groupes et les espaces";"";"Oddzielenie czatów bezpośrednich i grup";"Atskirti tiesioginius pokalbius, grupes ir erdves";"";""
"serverRequiresEmail";"";"Tämän palvelimen täytyy tarkistaa sähköposti-osoitteesi rekisteröitymistä varten.";"Zerbitzari honek zure posta elektronikoa egiaztatu behar du izena eman dezazun.";"Za registraciju ovaj poslužitelj mora potvrditi tvoju e-mail adresu.";"";"Deze server wil je email laten bevestigen bij de registratie.";"Этот сервер должен подтвердить ваш адрес электронной почты для регистрации.";"Este servidor necesita validar su dirección de correo electrónico para registrarse.";"Acest server trebuie să valideze emailul vostru pentru înregistrare.";"";"";"See koduserver eeldab registreerimisel kasutatava e-postiaadressi kinnitamist.";"Dieser Server muss deine E-Mail-Adresse für die Registrierung überprüfen.";"Este servidor precisa validar seu email para efetuar o registro.";"";"";"O servidor precisa validar o teu enderezo de email para rexistrarte.";"برای ثبت‌نام، این سرور باید آدرس ایمیل شما را تایید کند.";"Tento server potřebuje k registraci ověřit vaši e -mailovou adresu.";"Server ini harus memvalidasi alamat email Anda untuk registrasi.";"";"This server needs to validate your email address for registration.";"";"このサーバーは、登録のためにメールアドレスを検証する必要があります。";"";"";"";"此服务器需要验证您的电子邮件地址以进行注册。";"";"";"이 서버는 가입을 위해 당신의 이메일을 확인해야 합니다.";"يتطلب هذا الخادم التحقق من بريدك الإلكتروني.";"שרת זה צריך לאמת את כתובת הדואר האלקטרוני שלך לרישום.";"Bu sunucunun kayıt için e-posta adresinizi doğrulaması gerekiyor.";"Servern behöver validera din e-postadress för registrering.";"Цей сервер потребує перевірки вашої адресу е-пошти для реєстрації.";"Ní mór don fhreastalaí seo do sheoladh ríomhphoist a bhailíochtú le haghaidh clárúcháin.";"Ce serveur doit valider votre adresse électronique pour l'inscription.";"";"Ten serwer wymaga potwierdzenia twojego adresu email w celu rejestracji.";"Šis serveris turi patvirtinti jūsų el. pašto adresą registracijai.";"";"Questo server ha bisogno di validare la tua email per la registrazione."
"sessionVerified";"";"Istunto on varmennettu";"";"Sesija je potvrđena";"";"Sessie is geverifieerd";"Сессия подтверждена";"La sesión está verificada";"";"";"";"Sessioon on verifitseeritud";"Sitzung ist verifiziert";"Sessão verificada";"";"Økt bekreftet";"Sesión verificada";"";"Sezení je ověřené";"Sesi telah diverifikasi";"";"Session is verified";"";"セッションは確認済みです";"Сесија је верификована";"";"S’ha verificat la sessió";"会话已验证";"Relácia je overená";"Munkamenet hitelesítve";"세션이 확인됨";"تُحقق من الجلسة";"";"Oturum doğrulandı";"Sessionen är verifierad";"Сеанс звірено";"Tá an seisiún fíoraithe";"La session est vérifiée";"";"Sesja została zweryfikowana";"Sesija patvirtinta";"";"La sessione è verificata"
"setAProfilePicture";"";"Aseta profiilikuva";"";"Postavi sliku profila";"";"Profielfoto instellen";"Установить изображение профиля";"Establecer una foto de perfil";"";"";"";"Seadista profiilipilt";"Ein Profilbild festlegen";"Fixar uma imagem de perfil";"";"Sett et profilbilde";"Establecer foto do perfil";"";"Nastavit profilový obrázek";"Tetapkan gambar profil";"";"Set a profile picture";"";"プロフィール画像を設定する";"Постави слику профила";"";"Defineix una foto de perfil";"设置个人资料图片";"Nastaviť profilový obrázok";"Profilkép beállítása";"프로필 사진 설정";"عيّن صورة ملف شخصي";"";"Profil fotoğrafı ayarla";"Ställ in en profilbild";"Додати зображення профілю";"Socraigh pictiúr próifíle";"Définir une image de profil";"";"Ustaw zdjęcie profilowe";"Nustatyti vartotojo profilio paveiksliuką";"";"Imposta un'immagine di profilo"
"setAsCanonicalAlias";"";"Aseta pääalias";"Ezarri goitizen nagusi bezala";"Postavi kao glavni pseudonim";"";"Instellen als hoofdalias";"Установить как основной псевдоним";"Fijar alias principal";"Stabiliți ca pseudonimul primar";"";"";"Määra põhinimeks";"Als Haupt-Alias festlegen";"Fixar como cognome principal";"";"";"Establecer como alias principal";"به عنوان نام مستعار اصلی تنظیم کنید";"Nastavit jako hlavní alias";"Atur sebagai alias utama";"";"Set as main alias";"";"メインエイリアスに設定";"Постави као главни алијас";"";"Defineix com a àlies principal";"设为主要别名";"";"";"주 별명으로 설정";"تعيين كاسم مستعار رئيسي";"";"Ana takma ad olarak ayarla";"Sätt som primärt alias";"Установити основним псевдонімом";"Socraigh mar phríomh-ailias";"Définir comme adresse principale";"";"Ustaw jako główny alias";"Nustatyti kaip pagrindinį slapyvardį";"";"Imposta come alias principale"
"setCustomEmotes";"";"Aseta mukautetut emotet";"Ezarri neurrira egindako emoteak";"Postavi prilagođene emotikone";"";"Aangepaste emoticons inschakelen";"Установить пользовательские эмодзи";"Establecer emoticonos personalizados";"Stabiliți emoji-uri personalizate";"";"";"Kohanda emotsioonitegevusi";"Eigene Emoticons einstellen";"Implantar emojis personalizados";"";"Sett tilpassede smilefjes";"Establecer emotes personalizados";"شکلک سفارشی را تنظیم کنید";"Nastavit vlastní emotikony";"Tetapkan emote kustom";"";"Set custom emotes";"";"カスタムエモートの設定";"постави посебне емотије";"";"Defineix emoticones personalitzades";"设置自定义表情";"";"";"맞춤 이모트 설정";"عيّن وجوهًا تعبيرية مخصصة";"";"Özel ifadeler ayarla";"Ställ in anpassade dekaler";"Установити користувацькі емоджі";"Socraigh straoiseoga saincheaptha";"Définir des émoticônes personnalisées";"";"Ustaw niestandardowe emotki";"Nustatykite pasirinktinius emotes";"";"Imposta emoticon personalizzate"
"setGroupDescription";"";"Aseta ryhmän kuvaus";"";"Postavi opis grupe";"";"Stel een groepsomschrijving in";"Задать описание группы";"Establecer descripción del grupo";"Stabiliți descrierea grupului";"";"";"Seadista vestlusrühma kirjeldus";"Gruppenbeschreibung festlegen";"Fixar uma descrição do grupo";"";"Sett gruppebeskrivelse";"Establecer descrición do grupo";"تنظیم توصیف گروه";"Nastavit popis skupiny";"Tetapkan deskripsi grup";"";"Set group description";"";"グループの説明を設定する";"Постави опис групе";"";"Defineix la descripció del grup";"设置群组描述";"Nastaviť popis skupiny";"Csoportleírás beállítása";"그룹 설명 설정";"عيّن وصفا للمجموعة";"";"Grup açıklaması ayarla";"Ställ in gruppbeskrivning";"Додати опис групи";"Socraigh cur síos ar an ngrúpa";"Définir une description du groupe";"";"Ustaw opis grupy";"Nustatyti grupės aprašymą";"";"Imposta una descrizione del gruppo"
"setInvitationLink";"";"Aseta kutsulinkki";"";"Pošalji poveznicu za pozivnicu";"";"Uitnodigingslink instellen";"Установить ссылку для приглашения";"Establecer enlace de invitación";"Stabiliți linkul de invitație";"";"";"Tee kutselink";"Einladungslink festlegen";"Enviar link de convite";"";"Sett invitasjonslenke";"Establecer ligazón do convite";"تنظیم پیوند دعوت";"Nastavit zvací odkaz";"Tetapkan tautan undangan";"";"Set invitation link";"";"招待リンクを設定する";"Поставља везу позивнице";"";"Defineix l’enllaç per a convidar";"设置邀请链接";"Nastaviť odkaz pre pozvánku";"Meghívó hivatkozás beállítása";"초대 링크 설정";"عيّن رابط الدعوة";"";"Davet bağlantısı ayarla";"Ställ in inbjudningslänk";"Указати посилання для запрошення";"Socraigh nasc cuiridh";"Créer un lien d'invitation";"";"Ustaw link zaproszeniowy";"Nustatyti pakvietimo nuorodą";"";"Imposta il collegamento di invito"
"setPermissionsLevel";"";"Aseta oikeustasot";"Ezarri baimen maila";"Postavi razinu dozvola";"";"Machtigingsniveau instellen";"Установить уровень разрешений";"Establecer nivel de permisos";"Stabiliți nivelul de permisii";"";"";"Seadista õigusi";"Berechtigungsstufe einstellen";"Determinar níveis de permissão";"";"Sett tilgangsnivå";"Establecer nivel de permisos";"تنظیم درجه اجازه‌ها";"Nastavit úroveň oprávnění";"Tetapkan level izin";"";"Set permissions level";"";"権限レベルをセット";"Одреди ниво дозволе";"";"Defineix el nivell de permisos";"设置权限级别";"Nastaviť úroveň oprávnení";"";"권한 레벨 설정";"عين مستوى الصلاحية";"";"İzin seviyesini ayarla";"Ställ in behörighetsnivå";"Указати рівні дозволів";"Socraigh leibhéal ceadanna";"Définir le niveau de permissions";"";"Ustaw poziom uprawnień";"Nustatyti leidimų lygį";"";"Imposta il livello di autorizzazione"
"setStatus";"";"Aseta tila";"";"Postavi stanje";"";"Status instellen";"Задать статус";"Establecer estado";"Stabiliți status";"";"";"Määra olek";"Status ändern";"Alterar o status";"";"Angi status";"Establecer estado";"تنظیم وضعیت";"Nastavit stav";"Tetapkan status";"";"Set status";"";"ステータスの設定";"Постави статус";"";"Defineix l’estat";"设置状态";"Nastaviť status";"Állapot beállítása";"상태 설정";"عيّن الحالة";"";"Durumu ayarla";"Ställ in status";"Указати статус";"Cuir stádas";"Définir le statut";"";"Ustaw status";"Nustatyti būseną";"";"Imposta lo stato"
"settings";"";"Asetukset";"";"Postavke";"";"Instellingen";"Настройки";"Ajustes";"Configurări";"Configurações";"";"Seadistused";"Einstellungen";"Configurações";"";"Innstilinger";"Axustes";"تنظیمات";"Nastavení";"Pengaturan";"";"Settings";"";"設定";"Поставке";"";"Paràmetres";"设置";"Nastavenia";"Beállítások";"설정";"الإعدادات";"";"Ayarlar";"Inställningar";"Налаштування";"Socruithe";"Paramètres";"";"Ustawienia";"Nustatytmai";"";"Impostazioni"
"setupChatBackup";"";"Aseta keskustelun varmuuskopiointi";"Ezarri txaten babeskopiak";"Postavi sigurnosnu kopiju chata";"";"Chat back-up instellen";"Настройте резервное копирование чата";"Configurar copia de respaldo de chat";"";"";"Nastavite varnostno kopiranje klepeta";"Võta kasutusele vestluste varundus";"Chat-Backup einrichten";"Configurar backup da conversa";"";"";"Configurar copia de apoio";"";"Nastavit zálohu chatu";"Siapkan cadangan pesan";"";"Set up chat backup";"";"チャットバックアップを設定する";"";"";"Configura la còpia de seguretat dels xats";"设置聊天记录备份";"Nastaviť zálohy chatov";"Beszélgetések mentésének beállítása";"채팅 백업 설정";"إعداد النسخ الاحتياطي للمحادثة";"הגדר גיבוי צ'אט";"Sohbet yedeklemeyi ayarla";"Konfigurera chatt-backup";"Налаштувати резервне копіювання чату";"Bunaigh cúltaca comhrá";"Configurer la sauvegarde de la discussion";"";"Ustaw kopię zapasową";"Nustatyti pokalbio atsarginę kopiją";"";"Imposta backup delle chat"
"setupChatBackupDescription";"";"Suojellaksemme viestejäsi olemme luoneet sinulle turva-avaimen.
Pidäthän tätä turvallisessa paikassa, kuten salasanamanagerissasi.";"Mezuak babestearren, sagurtasun gako bat sortu dugu zuretzat.
Mesedez, gorde ezazu toki seguru batean, pasahitz-kudeatzaile batean adibidez.";"Kako bismo zaštitili tvoje poruke, generirali smo sigurnosni ključ.
Čuvaj ga na sigurnom mjestu, poput upravljača lozinki.";"";"Om je berichten te beschermen genereren we een veiligheidssleutel voor jouw.
Bewaar deze op een veilig plek, bijvoorbeeld in een wachtwoordmanager.";"Для защиты ваших сообщений мы сгенерировали для вас ключ безопасности.
Пожалуйста, храните его в надежном месте, например, в менеджере паролей.";"Para proteger sus mensajes, hemos generado una clave de seguridad.
Consérvela en un sitio seguro, como un gestor de contraseñas.";"";"";"Za zaščito vaših sporočil smo za vas ustvarili varnostni ključ.
Prosimo, da to shranite na varnem mestu, na primer v upravitelju gesel.";"Et sinu sõnumid ei oleks võõrastele loetavad, me genereerisime krüptovõtme.
Palun hoia seda turvalises kohas, näiteks salasõnade halduris.";"Um deine Nachrichten zu schützen, haben wir einen Sicherheitsschlüssel für dich generiert.
Bewahre ihn bitte an einem sicheren Ort auf, wie zum Beispiel einem Passwort-Manager.";"Para proteger suas mensagens, nós geramos uma chave de segurança para você.
Por favor, guarde-a num lugar seguro, como um gerenciador de senhas.";"";"";"Para protexer as túas mensaxes creamos unha chave de seguridade para ti.
Gárdaa nun lugar seguro, como nun xestor de contrasinais.";"تا پیغام‌های شما حفظ شوند، این کلید ساختہ شد.
لطفاً جای امنی بپاییدش، مثل یک مدیر رمز عبور.";"Abychom chránili vaše zprávy, vygenerovali jsme pro vás bezpečnostní klíč.
 Uchovejte ho na bezpečném místě, například ve správci hesel.";"Untuk melindungi pesan Anda, kami telah membuat kunci keamanan untuk Anda.
Silakan simpan kuncinya di tempat yang aman, seperti manajer kata sandi.";"";"To protect your messages, we have generated a security key for you.
Please keep this in a safe place, such as a password manager.";"";"";"";"";"Hem generat una clau de seguretat per a protegir els vostres missatges.
Conserveu-la en un lloc segur, com ara un gestor de contrasenyes.";"为了保护您的信息，我们为您生成了一个安全密钥。
请将其保存在安全的地方，如密码管理器中。";"";"Az üzeneteid védelme érdekében generáltunk neked egy biztonsági kulcsot.
Kérlek, tárold egy biztonságos helyen, mint például egy jelszókezelő.";"당신의 메시지를 보호하기 위해서, 보안 키를 생성했습니다.
비밀번호 관리자와 같이 안전한 곳에 저장해주세요.";"لحماية رسائلك، أنشأنا مفتاح أمان لك.
يرجى الاحتفاظ به في مكان آمن، كمدير لكلمات السر.";"כדי להגן על ההודעות שלך, יצרנו מפתח אבטחה עבורך.
אנא שמור אותו במקום בטוח, כגון מנהל סיסמאות.";"Mesajlarınızı korumak için sizin için bir güvenlik anahtarı oluşturduk.
Lütfen bunu parola yöneticisi gibi güvenli bir yerde saklayın.";"För att skydda dina meddelanden så det skapats en säkerhetsnyckel.
Förvara nyckeln på ett säkert ställe, t ex med en lösenordshanterare.";"Щоб захистити ваші повідомлення, ми створили для вас ключ безпеки.
Зберігайте його в надійному місці, наприклад, у менеджері паролів.";"";"Pour protéger vos messages, nous avons généré une clé de sécurité pour vous.
Veuillez la garder dans un endroit sûr, par exemple un gestionnaire de mots de passe.";"";"By chronić Twoje wiadomości, wygenerowaliśmy dla Ciebie klucz bezpieczeństwa.
Proszę zapisz go w bezpiecznym miejscu, takim jak menedżer haseł.";"Siekdami apsaugoti jūsų pranešimus, sukūrėme jums saugos raktą. Laikykite tai saugioje vietoje, pvz. slaptažodžių tvarkyklėje.";"";"Per proteggere i tuoi messaggi, abbiamo generato una chiave di sicurezza. 
Conservala in un luogo sicuro, come ad esempio un software di gestione password."
"setupChatBackupNow";"";"Määritä keskusteluvarmuuskopiosi nyt";"Ezarri txaten babeskopia orain";"Sada postavit sigurnosnu kopiju chata";"";"Stel je chat back-up nu in";"Настройте резервную копию чата прямо сейчас";"";"";"";"";"Seadista oma vestluste varundus";"Richte jetzt ein Chat-Backup ein";"Configurar seu backup de conversas agora";"";"";"Configura a copia de apoio do chat";"";"Nastavte si zálohu chatu hned teď";"Mulai menyiapkan cadangan chat Anda";"";"Set up your chat backup now";"";"";"";"";"";"立即设置您的聊天备份";"";"";"당신의 채팅 백업을 지금 설정하세요";"قم بإعداد النسخة الاحتياطية للمحادثة الآن";"";"Sohbet yedeklemenizi şimdi ayarlayın";"Konfigurera din chatt-backup nu";"Налаштуйте резервне копіювання чату зараз";"";"Configurez votre sauvegarde de discussion maintenant";"";"";"Nustatykite atsarginę pokalbio kopiją";"";""
